name,country,color,sugar,volume,manufacturer,region,grape,year,price
Valpolicella Classico Superiore Ognisanti,Италия,красное,сухое,0.75 л.,Bertani,Венето,корвина веронезе 80%&рондинелла 20%,2020 г.,6 990

Orange Gold,Франция,белое,сухое,0.75 л.,Gerard Bertrand,Лангедок-Руссильон,шардоне&гренаш блан&вионье&мозак&мускат,2021 г.,3 990

Pinotage,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,пинотаж,2021 г.,2 490

Max's Garden,Австралия,красное,сухое,0.75 л.,Two Hands,Виктория,шираз 100%,2019 г.,10 490

Carmenere,Чили,красное,сухое,0.75 л.,Vina Arboleda,Аконкагуа,карменер 100%,2022 г.,3 490

Cabernet Sauvignon Labyrinth,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,каберне совиньон,2019 г.,3 490

Шардоне Семейный Резерв,Россия,белое,сухое,0.75 л.,Сикоры,Кубань,шардоне 100%,2021 г.,3 490

Cumaro,Италия,красное,сухое,0.75 л.,Umani Ronchi,Марке,монтепульчано 100%,2019 г.,5 990

Tenuta Regaleali Leone,Италия,белое,сухое,0.75 л.,Tasca d'Almerita,Сицилия,катарратто&пино бьянко&совиньон блан&траминер,2022 г.,3 990

Montessu,Италия,красное,сухое,0.75 л.,Agricola Punica,Сардиния,кариньяно 60%&сира 10%&каберне совиньон 10%&каберне фран 10%&мерло 10%,2021 г.,4 490

Lacryma Christi Rosso,Италия,красное,сухое,0.75 л.,Feudi di San Gregorio,Кампания,пьедироссо&альянико,2021 г.,3 140

Cabernet Sauvignon,Аргентина,красное,сухое,0.75 л.,Luigi Bosca,Мендоса,каберне совиньон 100%,2021 г.,2 790

Gavi dei Gavi (Etichetta Nera),Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,7 990

Мерло Семейный Резерв,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,мерло 100%,2019 г.,3 990

Paddle Creek Sauvignon Blanc,Новая Зеландия,белое,полусухое,0.75 л.,Lake Road,Мальборо,совиньон блан 100%,2022 г.,2 240

Urban Riesling,Германия,белое,полусухое,0.75 л.,Nik Weis St. Urbans-Hof,Мозель,рислинг 100%,2022 г.,1 790

Marques de Riscal Sauvignon Organic,Испания,белое,сухое,0.75 л.,Marques de Riscal,Кастилия и Леон,совиньон блан 100%,2022 г.,2 990

Chenin Blanc,Южная Африка,белое,сухое,0.75 л.,Simonsig,Вестерн Кейп,шенен блан,2023 г.,1 640

Terre More Ammiraglia,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,каберне совиньон&мерло&сира,2022 г.,2 990

Paddle Creek Pinot Noir,Новая Зеландия,красное,сухое,0.75 л.,Lake Road Group Limited,Мальборо,пино нуар,2022 г.,2 340

Riesling Mosel Dry,Германия,белое,полусухое,1.5 л.,Nik Weis St. Urbans-Hof,Мозель,рислинг 100%,2021 г.,5 490

Lugana Riserva Sergio Zenato,Италия,белое,сухое,0.75 л.,Zenato,Венето,треббьяно ди лугана 100%,2020 г.,8 490

Cabernet Sauvignon / Shiraz,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,каберне совиньон&шираз,2021 г.,1 640

